"cycleday","light_bleeding","medium_bleeding","high_bleeding"
-15,0.00676759574894726,0.00175456186083818,0.00115299779426509
-14,0.00521355524363345,0.00130338881090836,0.000751955083216363
-13,0.00411068778824945,0.000952476438740726,0.000375977541608181
-12,0.00393523160216563,0.000726889913775817,0.000200521355524363
-11,0.00418588329657109,0.000526368558251454,0.000125325847202727
-10,0.00466212151594145,0.000451173049929818,7.51955083216362e-05
-9,0.00566472829356326,0.000275716863846,0
-8,0.00624122719069581,0.000375977541608181,2.50651694405454e-05
-7,0.0079456587126529,0.000250651694405454,2.50651694405454e-05
-6,0.0110036093843994,0.000451173049929818,2.50651694405454e-05
-5,0.0161670342891518,0.000751955083216363,2.50651694405454e-05
-4,0.0265941447764187,0.00120312813314618,5.01303388810908e-05
-3,0.0461449769400441,0.00258171245237618,0.000150391016643272
-2,0.0873521155003008,0.00649187888510126,0.00032584720272709
-1,0.165054140765992,0.0705835171445759,0.00117806296370563
1,0,0,1
2,0.0221325446160016,0.295543412873471,0.626579105674754
3,0.158612392219771,0.562136555043112,0.194204932825346
4,0.412948666532986,0.369911770603569,0.0422097453378785
5,0.485637657910567,0.116302386204131,0.0119811509925807
6,0.269600962502507,0.027295969520754,0.00398536194104672
7,0.102065369961901,0.00686785642670944,0.000952476438740726
8,0.0365199518748747,0.00268197313013836,0.000451173049929818
9,0.01654301183076,0.00122819330258673,0.000200521355524363
10,0.00929917786244235,0.000751955083216363,0.000125325847202727
11,0.00619109685181472,0.00087728093041909,0.00032584720272709
12,0.00506316422699017,0.000576498897132545,0.000426107880489272
13,0.00478744736314417,0.000401042711048727,0.000300782033286545
14,0.00531381592139563,0.000576498897132545,0.000375977541608181
15,0.00556446761580108,0.000651694405454181,0.000526368558251454
