"bmi","pc_of_users"
12,0.00963483957992099
13,0
14,0.00963483957992099
15,0.038539358319684
16,0.472107139416129
17,2.22564794296175
18,6.33008960400809
19,11.3209365064072
20,14.018691588785
21,13.9127083534059
22,12.3904036997784
23,8.47865883033048
24,7.00452837460256
25,4.83668946912034
26,3.63233452163021
27,2.98680026977551
28,2.36053569708064
29,1.73427112438578
30,1.71500144522594
31,0.953849118412179
32,1.08873687253107
33,0.77078716639368
34,0.616629733114944
35,0.616629733114944
36,0.558820695635418
37,0.510646497735813
38,0.269775508237788
39,0.211966470758262
40,0.125252914538973
41,0.211966470758262
42,0.163792272858657
43,0.115618074959052
44,0.019269679159842
45,0.0867135562192889
46,0.077078716639368
47,0.038539358319684
48,0.038539358319684
49,0
50,0.00963483957992099
51,0
52,0
53,0.019269679159842
54,0.00963483957992099
55,0
56,0
57,0.00963483957992099
