"cycleday","Low and closed","Medium","High, soft and open"
-28,0.00511329456587127,0.00370964507720072,0.00140364948867054
-27,0.00614096651293363,0.00498796871866854,0.001654301183076
-26,0.00859735311810708,0.0057399238018849,0.00213053940244636
-25,0.0110537397232805,0.00787046320433126,0.00253158211349509
-24,0.0133848004812513,0.0106276318427913,0.00333366753559254
-23,0.0164176859835572,0.0143122117505514,0.00441146982153599
-22,0.0192500501303389,0.019024463605374,0.00548927210747945
-21,0.02067876478845,0.0242380188490074,0.00764487667936635
-20,0.0189492680970523,0.0296019651092841,0.0107028273511129
-19,0.0172949669139763,0.0330609584920794,0.0163424904752356
-18,0.0145628634449569,0.0363194305193503,0.0220072187687989
-17,0.0114547824343293,0.0360687788249449,0.0318578303589332
-16,0.0098255464206938,0.0352165630639663,0.0397032283938239
-15,0.0101012632845398,0.0321836775616603,0.0443904150792059
-14,0.0147884499699218,0.033361740525366,0.0386003609384399
-13,0.0219069580910367,0.0338129135752958,0.0298776819731301
-12,0.0312813314618007,0.0321084820533387,0.0198265490274714
-11,0.0376478844996992,0.025090234609986,0.0125075195508322
-10,0.039201925005013,0.0194756366553038,0.00787046320433126
-9,0.0386755564467616,0.013510126328454,0.00488770804090636
-8,0.0333366753559254,0.0105775015039102,0.00333366753559254
-7,0.0299278123120112,0.00819631040705835,0.002481451774614
-6,0.0270453178263485,0.00614096651293363,0.00187988770804091
-5,0.0244385402045318,0.00528875075195508,0.001102867455384
-4,0.0224834569881692,0.0040856226188089,0.000726889913775817
-3,0.0201523962301985,0.00396029677160618,0.00100260677762182
-2,0.0181722478443954,0.00345899338279527,0.00087728093041909
-1,0.0144626027671947,0.00335873270503309,0.000802085422097453
