"cycleday_from_end","p.10","p.25","median","p.75","p.90"
-28,-0.2,0,0.1,0.3,0.5
-27,-0.2,0,0.1,0.3,0.5
-26,-0.2,0,0.1,0.3,0.5
-25,-0.2,0,0.1,0.3,0.5
-24,-0.2,-0.1,0,0.3,0.5
-23,-0.3,-0.1,0,0.2,0.5
-22,-0.3,-0.1,0,0.2,0.4
-21,-0.3,-0.1,0,0.2,0.4
-20,-0.3,-0.1,0,0.2,0.4
-19,-0.3,-0.1,0,0.2,0.4
-18,-0.3,-0.1,0,0.2,0.4
-17,-0.3,-0.2,0,0.2,0.4
-16,-0.3,-0.1,0,0.2,0.4
-15,-0.3,-0.1,0,0.2,0.5
-14,-0.2,0,0.1,0.3,0.5
-13,-0.2,0,0.2,0.4,0.7
-12,-0.1,0.1,0.3,0.5,0.8
-11,0,0.2,0.4,0.6,0.8
-10,0,0.3,0.5,0.7,0.9
-9,0.1,0.3,0.5,0.7,0.9
-8,0.1,0.4,0.6,0.8,1
-7,0.2,0.4,0.6,0.8,1
-6,0.2,0.4,0.6,0.9,1
-5,0.2,0.4,0.7,0.9,1.1
-4,0.2,0.4,0.7,0.9,1.1
-3,0.2,0.4,0.6,0.9,1
-2,0.1,0.4,0.6,0.8,1
-1,0,0.2,0.4,0.7,0.9
