"cycleday","p.10","p.25","median","p.75","p.90"
-28,-0.1,0,0.05,0.2,0.3
-27,-0.125,-0.013,0.05,0.163,0.3
-26,-0.15,-0.037,0.05,0.15,0.275
-25,-0.15,-0.038,0.05,0.15,0.25
-24,-0.15,-0.05,0.025,0.137,0.25
-23,-0.15,-0.05,0,0.1,0.225
-22,-0.15,-0.05,0,0.1,0.2
-21,-0.15,-0.05,0,0.1,0.2
-20,-0.15,-0.05,0,0.1,0.2
-19,-0.15,-0.05,0,0.088,0.2
-18,-0.163,-0.075,0,0.075,0.175
-17,-0.15,-0.075,0,0.075,0.188
-16,-0.15,-0.062,0,0.1,0.2
-15,-0.15,-0.05,0,0.125,0.25
-14,-0.1,0,0.05,0.2,0.313
-13,-0.05,0,0.15,0.275,0.4
-12,0,0.075,0.2,0.35,0.45
-11,0,0.15,0.275,0.4,0.5
-10,0.05,0.2,0.3,0.4,0.5
-9,0.1,0.2,0.312,0.425,0.525
-8,0.1,0.225,0.35,0.45,0.55
-7,0.15,0.25,0.35,0.45,0.55
-6,0.15,0.25,0.35,0.463,0.575
-5,0.15,0.25,0.363,0.475,0.588
-4,0.15,0.25,0.35,0.487,0.6
-3,0.125,0.25,0.35,0.463,0.587
-2,0.087,0.2,0.312,0.45,0.55
-1,0,0.1,0.2,0.35,0.475
