"cycleday","Dry","Dry sticky","Wet moist","Wet lubricative"
-28,2.79745319860799e-06,0,0,0
-27,4.19617979791198e-06,1.39872659930399e-06,0,0
-26,2.79745319860799e-06,0,0,0
-25,2.79745319860799e-06,0,2.79745319860799e-06,0
-24,4.19617979791198e-06,1.39872659930399e-06,2.79745319860799e-06,1.39872659930399e-06
-23,8.39235959582396e-06,1.39872659930399e-06,5.59490639721597e-06,2.79745319860799e-06
-22,9.79108619512796e-06,1.39872659930399e-06,9.79108619512796e-06,4.19617979791198e-06
-21,1.25885393937359e-05,1.39872659930399e-06,8.39235959582396e-06,5.59490639721597e-06
-20,6.99363299651997e-06,5.59490639721597e-06,1.53859925923439e-05,5.59490639721597e-06
-19,1.11898127944319e-05,2.79745319860799e-06,1.95821723902559e-05,5.59490639721597e-06
-18,4.19617979791198e-06,6.99363299651997e-06,1.81834457909519e-05,1.81834457909519e-05
-17,4.19617979791198e-06,5.59490639721597e-06,2.65758053867759e-05,2.23796255888639e-05
-16,5.59490639721597e-06,4.19617979791198e-06,2.79745319860799e-05,2.65758053867759e-05
-15,1.39872659930399e-06,1.11898127944319e-05,2.65758053867759e-05,4.75567043763358e-05
-14,9.79108619512796e-06,4.19617979791198e-06,3.21707117839919e-05,5.73477905714637e-05
-13,1.81834457909519e-05,4.19617979791198e-06,5.03541575749438e-05,4.61579777770318e-05
-12,2.65758053867759e-05,9.79108619512796e-06,5.31516107735518e-05,5.03541575749438e-05
-11,3.21707117839919e-05,1.81834457909519e-05,6.15439703693757e-05,4.19617979791198e-05
-10,3.07719851846879e-05,3.35694383832958e-05,6.85376033658957e-05,3.21707117839919e-05
-9,3.91643447805118e-05,4.19617979791198e-05,7.69299629617196e-05,2.51770787874719e-05
-8,6.01452437700717e-05,4.75567043763358e-05,8.81197757561516e-05,2.23796255888639e-05
-7,6.15439703693757e-05,5.03541575749438e-05,9.65121353519756e-05,1.81834457909519e-05
-6,6.85376033658957e-05,7.97274161603276e-05,9.79108619512796e-05,2.09808989895599e-05
-5,8.95185023554556e-05,7.83286895610237e-05,9.37146821533676e-05,2.93732585853839e-05
-4,0.000110499401345016,8.11261427596316e-05,0.000110499401345016,3.21707117839919e-05
-3,0.000109100674745712,7.55312363624157e-05,0.000120290487540143,3.35694383832958e-05
-2,0.000125885393937359,6.57401501672877e-05,0.000141271386529703,2.65758053867759e-05
-1,0.000118891760940839,6.15439703693757e-05,0.000138473933331095,2.79745319860799e-05
