"cycleday","Dry","Wet","Very wet"
-28,0.00884800481251253,0.0124573892119511,0.00769500701824744
-27,0.012682975736916,0.01654301183076,0.00957489472628835
-26,0.0176709444555845,0.0221325446160016,0.0111540004010427
-25,0.0235361941046721,0.028398836976138,0.0147884499699218
-24,0.030053138159214,0.0410818127130539,0.0200270703829958
-23,0.0368708642470423,0.0563465009023461,0.0286244235011029
-22,0.0431120914377381,0.0732404251052737,0.0417836374573892
-21,0.0465460196510928,0.093793864046521,0.0603819931822739
-20,0.042510527371165,0.10707840385001,0.0890314818528173
-19,0.0352917585722879,0.111740525365951,0.126904952877481
-18,0.0267946661319431,0.107880489272107,0.171245237617806
-17,0.0197513535191498,0.0941949067575697,0.216588129135753
-16,0.0150391016643273,0.0821636254261079,0.246866853819932
-15,0.0143623420894325,0.0732654902747143,0.250526368558251
-14,0.018473029877682,0.0643172247844395,0.219470623621416
-13,0.0213304591939041,0.0622368157208743,0.171821736514939
-12,0.0266192099458592,0.0565470222578705,0.116076799679166
-11,0.0282484459594947,0.051057750150391,0.0741929015440144
-10,0.02895027070383,0.0447413274513736,0.0494285141367556
-9,0.0276468818929216,0.0404802486464809,0.0320834168838981
-8,0.0270453178263485,0.0357178664527772,0.0215309805494285
-7,0.0236364547824343,0.030880288750752,0.0143874072588731
-6,0.0220322839382394,0.0262933627431321,0.0106025666733507
-5,0.0215811108883096,0.0231852817325045,0.00666733507118508
-4,0.0200270703829958,0.0204782434329256,0.00533888109083617
-3,0.0189492680970523,0.0203779827551634,0.00398536194104672
-2,0.015991578103068,0.0177712051333467,0.00401042711048727
-1,0.0123069981953078,0.0130840184479647,0.0032584720272709
