"weight","pc_of_users"
40,0.156552168707984
41,0.138134266507045
42,0.26705958191362
43,0.478865457224422
44,0.497283359425361
45,0.884059305645087
46,1.09586518095589
47,1.45501427387421
48,2.05359609540473
49,1.7312828068883
50,4.29137121281886
51,2.22856616631366
52,4.05193848420665
53,4.24532645731651
54,3.95064002210148
55,5.13859471406207
56,3.99668477760383
57,4.54922184363201
58,4.81628142554563
59,3.50861036927894
60,6.28971360162078
61,2.25619301961507
62,3.61911778248458
63,3.490192467078
64,2.86398379224606
65,3.61911778248458
66,1.71286490468736
67,1.68523805138595
68,2.43116309052399
69,1.17874574086012
70,2.89161064554747
71,0.966939865549314
72,1.28004420296528
73,1.18795469196059
74,0.782760843539921
75,1.86941707339534
76,0.681462381434755
77,0.718298185836633
78,0.838014550142739
79,0.506492310525831
80,1.28004420296528
81,0.340731190717377
82,0.552537066028179
83,0.515701261626301
84,0.340731190717377
85,0.690671332535224
86,0.414402799521135
87,0.25785063081315
88,0.303895386315499
89,0.202596924210332
90,0.672253430334285
91,0.202596924210332
92,0.156552168707984
93,0.221014826411272
94,0.174970070908923
95,0.377566995119256
96,0.25785063081315
97,0.211805875310802
98,0.184179022009393
99,0.128925315406575
100,0.331522239616908
101,0.0828805599042269
102,0.101298462105166
103,0.0828805599042269
104,0.0460447555023483
105,0.128925315406575
106,0.0552537066028179
107,0.0644626577032876
108,0.0920895110046966
109,0.119716364306106
110,0.174970070908923
111,0.0184179022009393
112,0.027626853301409
113,0.0644626577032876
114,0.0736716088037573
115,0.138134266507045
116,0.0368358044018786
117,0.0184179022009393
118,0.0460447555023483
119,0.0368358044018786
120,0.101298462105166
121,0.0184179022009393
122,0.0184179022009393
123,0.0184179022009393
124,0.027626853301409
125,0.0368358044018786
126,0
127,0
128,0.0184179022009393
129,0
130,0.027626853301409
131,0.00920895110046966
132,0
133,0.00920895110046966
134,0.027626853301409
135,0.00920895110046966
136,0.0184179022009393
137,0
138,0.0184179022009393
139,0
140,0.00920895110046966
